"","Region","2019","2020","2021","2022"
"1","Schweiz","38806777","39562039","23730738","29558849"
"2","Graubünden","5132212","5256016","4769970","5153155"
"3","Ostschweiz","1939042","1897137","1470743","1832379"
"4","Zürich Region","6286910","6534235","2258040","3139935"
"5","Luzern / Vierwaldstättersee","3862374","3912377","2139580","2709755"
"6","Basel Region","1671389","1706587","694243","969759"
"7","Bern Region","5332005","5414796","3300449","3925178"
"8","Jura & Drei-Seen-Land","546597","556151","413293","563134"
"9","Waadt","2912563","2959356","1530861","2085842"
"10","Genf","3232871","3202974","1041888","1524749"
"11","Wallis","4129344","4259950","3227069","3504091"
"12","Tessin","2270801","2309518","1933673","2934445"
"13","Fribourg Region","444342","481899","301324","396529"
"14","Aargau und Solothurn Region","1046327","1071043","649605","819898"
